ASP-122952-01 Pin Number,HSMC Name,5CGXFC5C6F27C7N Pin,I/O Standard,HDL Name,FPGA Pin Direction,Max Switching Rate
17,XCVR_TXp3,PIN_W4,1.5-V PCML,HSMC_GXB_TX_P[3],output,0 Hz
18,XCVR_RXp3,PIN_V2,1.5-V PCML,HSMC_GXB_RX_P[3],input,0 Hz
25,XCVR_TXp1,PIN_AA4,1.5-V PCML,HSMC_GXB_TX_P[2],output,0 Hz
26,XCVR_RXp1,PIN_Y2,1.5-V PCML,HSMC_GXB_RX_P[2],input,0 Hz
21,XCVR_TXp2,PIN_AC4,1.5-V PCML,HSMC_GXB_TX_P[1],output,0 Hz
22,XCVR_RXp2,PIN_AB2,1.5-V PCML,HSMC_GXB_RX_P[1],input,0 Hz
29,XCVR_TXp0,PIN_AE4,1.5-V PCML,HSMC_GXB_TX_P[0],output,0 Hz
30,XCVR_RXp0,PIN_AD2,1.5-V PCML,HSMC_GXB_RX_P[0],input,0 Hz
39,CLKOUT0,PIN_A7,2.5 V,UNUSED[0],inout,0 Hz
40,CLKIN0,PIN_N9,2.5 V,UNUSED[1],inout,0 Hz
41,D0,PIN_D11,2.5 V,BLINK1,output,0 Hz
42,D1,PIN_H14,2.5 V,LMZ31503_CLK,inout,1 MHz
43,D2,PIN_D12,2.5 V,BLINK2,output,0 Hz
44,D3,PIN_H13,2.5 V,LMZ31503_PWRGD,input,0 Hz
47,LVDS_TXp0,PIN_E10,LVDS,DACA_DATA1_P,output,800 MHz
48,LVDS_RXp0,PIN_N12,2.5 V,UNUSED[2],inout,0 Hz
49,LVDS_TXn0,PIN_E11,LVDS,DACA_DATA1_N,output,800 MHz
50,LVDS_RXn0,PIN_M12,2.5 V,UNUSED[3],inout,0 Hz
53,LVDS_TXp1,PIN_C9,LVDS,DACA_DATA0_P,output,800 MHz
54,LVDS_RXp1,PIN_M11,2.5 V,UNUSED[4],inout,0 Hz
55,LVDS_TXn1,PIN_B9,LVDS,DACA_DATA0_N,output,800 MHz
56,LVDS_RXn1,PIN_L11,2.5 V,UNUSED[5],inout,0 Hz
59,LVDS_TXp2,PIN_D10,LVDS,DAC_FCLKIN_P,output,125 MHz
60,LVDS_RXp2,PIN_H18,2.5 V,UNUSED[6],inout,0 Hz
61,LVDS_TXn2,PIN_C10,LVDS,DAC_FCLKIN_N,output,125 MHz
62,LVDS_RXn2,PIN_H17,2.5 V,UNUSED[7],inout,0 Hz
65,LVDS_TXp3,PIN_A12,LVDS,DACB_DATA0_P,output,800 MHz
66,LVDS_RXp3,PIN_L12,LVDS,ADCB_DATA1_P,input,800 MHz
67,LVDS_TXn3,PIN_B11,LVDS,DACB_DATA0_N,output,800 MHz
68,LVDS_RXn3,PIN_K11,LVDS,ADCB_DATA1_N,input,800 MHz
71,LVDS_TXp4,PIN_B10,LVDS,DACB_DATA1_P,output,800 MHz
72,LVDS_RXp4,PIN_H15,LVDS,ADCB_DATA0_P,input,800 MHz
73,LVDS_TXn4,PIN_A11,LVDS,DACB_DATA1_N,output,800 MHz
74,LVDS_RXn4,PIN_J16,LVDS,ADCB_DATA0_N,input,800 MHz
77,LVDS_TXp5,PIN_C20,2.5 V,UNUSED[8],inout,0 Hz
78,LVDS_RXp5,PIN_J12,LVDS,ADC_FCLKOUT_P,input,125 MHz
79,LVDS_TXn5,PIN_B19,2.5 V,UNUSED[9],inout,0 Hz
80,LVDS_RXn5,PIN_J11,LVDS,ADC_FCLKOUT_N,input,125 MHz
83,LVDS_TXp6,PIN_B15,2.5 V,UNUSED[10],inout,0 Hz
84,LVDS_RXp6,PIN_G16,LVDS,ADCA_DATA0_P,input,800 MHz
85,LVDS_TXn6,PIN_C15,2.5 V,UNUSED[11],inout,0 Hz
86,LVDS_RXn6,PIN_G17,LVDS,ADCA_DATA0_N,input,800 MHz
89,LVDS_TXp7,PIN_B22,LVDS,SYNCIN_P,output,1 Hz
90,LVDS_RXp7,PIN_G12,LVDS,ADCA_DATA1_P,input,800 MHz
