ASP-122952-01 Pin Number,HSMC Name,5CGXFC5C6F27C7N Pin,I/O Standard,HDL Name,FPGA Pin Direction
17,XCVR_TXp3,PIN_W4,1.5-V PCML,HSMC_GXB_TX_P[3],output
18,XCVR_RXp3,PIN_V2,1.5-V PCML,HSMC_GXB_RX_P[3],input
25,XCVR_TXp1,PIN_AA4,1.5-V PCML,HSMC_GXB_TX_P[2],output
26,XCVR_RXp1,PIN_Y2,1.5-V PCML,HSMC_GXB_RX_P[2],input
21,XCVR_TXp2,PIN_AC4,1.5-V PCML,HSMC_GXB_TX_P[1],output
22,XCVR_RXp2,PIN_AB2,1.5-V PCML,HSMC_GXB_RX_P[1],input
29,XCVR_TXp0,PIN_AE4,1.5-V PCML,HSMC_GXB_TX_P[0],output
30,XCVR_RXp0,PIN_AD2,1.5-V PCML,HSMC_GXB_RX_P[0],input
39,CLKOUT0,PIN_A7,2.5 V,HSMC_CLKOUT0,output
40,CLKIN0,PIN_N9,2.5 V,HSMC_CLKIN0,input
41,D0,PIN_D11,2.5 V,HSMC_D[0],inout
42,D1,PIN_H14,2.5 V,HSMC_D[1],inout
43,D2,PIN_D12,2.5 V,HSMC_D[2],inout
44,D3,PIN_H13,2.5 V,HSMC_D[3],inout
47,LVDS_TXp0,PIN_E10,2.5 V,HSMC_TX_P[0],inout
48,LVDS_RXp0,PIN_N12,2.5 V,HSMC_RX_P[0],inout
49,LVDS_TXn0,PIN_E11,2.5 V,HSMC_TX_N[0],inout
50,LVDS_RXn0,PIN_M12,2.5 V,HSMC_RX_N[0],inout
53,LVDS_TXp1,PIN_C9,2.5 V,HSMC_TX_P[1],inout
54,LVDS_RXp1,PIN_M11,2.5 V,HSMC_RX_P[1],inout
55,LVDS_TXn1,PIN_B9,2.5 V,HSMC_TX_N[1],inout
56,LVDS_RXn1,PIN_L11,2.5 V,HSMC_RX_N[1],inout
59,LVDS_TXp2,PIN_D10,2.5 V,HSMC_TX_P[2],inout
60,LVDS_RXp2,PIN_H18,2.5 V,HSMC_RX_P[2],inout
61,LVDS_TXn2,PIN_C10,2.5 V,HSMC_TX_N[2],inout
62,LVDS_RXn2,PIN_H17,2.5 V,HSMC_RX_N[2],inout
65,LVDS_TXp3,PIN_A12,2.5 V,HSMC_TX_P[3],inout
66,LVDS_RXp3,PIN_L12,2.5 V,HSMC_RX_P[3],inout
67,LVDS_TXn3,PIN_B11,2.5 V,HSMC_TX_N[3],inout
68,LVDS_RXn3,PIN_K11,2.5 V,HSMC_RX_N[3],inout
71,LVDS_TXp4,PIN_B10,2.5 V,HSMC_TX_P[4],inout
72,LVDS_RXp4,PIN_H15,2.5 V,HSMC_RX_P[4],inout
73,LVDS_TXn4,PIN_A11,2.5 V,HSMC_TX_N[4],inout
74,LVDS_RXn4,PIN_J16,2.5 V,HSMC_RX_N[4],inout
77,LVDS_TXp5,PIN_C20,2.5 V,HSMC_TX_P[5],inout
78,LVDS_RXp5,PIN_J12,2.5 V,HSMC_RX_P[5],inout
79,LVDS_TXn5,PIN_B19,2.5 V,HSMC_TX_N[5],inout
80,LVDS_RXn5,PIN_J11,2.5 V,HSMC_RX_N[5],inout
83,LVDS_TXp6,PIN_B15,2.5 V,HSMC_TX_P[6],inout
84,LVDS_RXp6,PIN_G16,2.5 V,HSMC_RX_P[6],inout
85,LVDS_TXn6,PIN_C15,2.5 V,HSMC_TX_N[6],inout
86,LVDS_RXn6,PIN_G17,2.5 V,HSMC_RX_N[6],inout
89,LVDS_TXp7,PIN_B22,2.5 V,HSMC_TX_P[7],inout
90,LVDS_RXp7,PIN_G12,2.5 V,HSMC_RX_P[7],inout
91,LVDS_TXn7,PIN_A21,2.5 V,HSMC_TX_N[7],inout
92,LVDS_RXn7,PIN_F12,2.5 V,HSMC_RX_N[7],inout
